,Unnamed: 0,Unnamed: 0.1,ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4,file_date,elevation
0,0,0,1113072,56,W,11,73,66000.0,7.383,7.885,32.955202,-117.124689,0.452,ML,2,Black Mountain Rd,314,,,,2015_01_01,178.243728638
1,1,1,1113073,56,W,11,73,66000.0,7.383,7.885,32.955202,-117.124689,,OR,3,BLACK MOUNTAIN RD,314,,,,2015_01_01,178.243728638
2,2,2,1113680,56,E,11,73,66000.0,6.862,7.364,32.953394,-117.133404,0.999,ML,3,BLACK MOUNTAIN RD,434,,,,2015_01_01,150.936233521
3,3,3,1113683,56,W,11,73,66000.0,7.383,7.885,32.955202,-117.124689,,FR,2,BLK MOUNTAIN - WB 56,314,,,,2015_01_01,178.243728638
4,4,4,1119041,125,N,11,73,,1.433,3.282,32.608637,-116.967247,0.792,ML,3,1 MI S/O BIRCH RD,19106,,,,2015_01_01,163.306900024
5,5,5,1119042,125,S,11,73,,3.603,5.428,32.637029,-116.971446,0.748,ML,2,1 MI S/O BIRCH RD,29106,,,,2015_01_01,169.974411011
6,6,6,1119059,125,N,11,73,,2.218,4.067,32.619301,-116.971171,0.214,ML,2,SOUTH SIDE BIRCH RD,19108,,,,2015_01_01,180.94859314
7,7,7,1119060,125,S,11,73,,4.521,6.346,32.649605,-116.971095,0.29,ML,2,SOUTH SIDE BIRCH RD,29108,,,,2015_01_01,170.259048462
8,8,8,1119093,125,S,11,73,,5.201,7.026,32.658064,-116.974882,0.286,ML,2,S/O OLYMPIC PKWY,29112,,,,2015_01_01,173.037994385
9,9,9,1119094,125,N,11,73,,2.898,4.747,32.629142,-116.971145,0.288,ML,2,S/O OLYMPIC PKWY,19112,,,,2015_01_01,179.15435791
10,10,10,1119109,125,S,11,73,,6.105,7.93,32.666382,-116.984168,0.427,ML,2,S/O OTAY LAKE RD,29201,,,,2015_01_01,121.926528931
11,11,11,1119110,125,N,11,73,,3.726,5.575,32.641088,-116.970426,0.522,ML,2,S/O OTAY LAKE RD,19201,,,,2015_01_01,171.784545898
12,12,12,1119178,125,S,11,73,,9.606,12.009,32.700011,-117.011577,0.177,ML,2,N/O MT MIGUEL RD,29209,,,,2015_01_01,92.6681442261
13,13,13,1119179,125,N,11,73,,9.605,11.364,32.700003,-117.011277,0.26,ML,2,N/O MT MIGUEL RD,19209,,,,2015_01_01,93.1636886597
14,14,14,1122687,805,N,11,73,13392.0,8.252,8.103,32.651602,-117.067914,,FR,1,805 SB NO Bonita Rd,25802,,,,2015_01_01,15.114156723
15,15,15,1122983,56,W,11,73,66000.0,9.21,9.712,32.964764,-117.095254,0.33,ML,2,West of I-15,12411,,,,2015_01_01,167.759033203
16,16,16,1122991,56,E,11,73,66000.0,8.775,9.277,32.962233,-117.102057,0.382,ML,2,West of I-15,22411,,,,2015_01_01,185.011444092
17,17,17,1119020,125,S,11,73,,2.894,4.719,32.627587,-116.971589,0.941,ML,2,OTAY RIVER BRIDGE NE,29104,,,,2015_02_20,181.715774536
18,18,18,1119021,125,N,11,73,,.495,2.344,32.595673,-116.964628,3.136,ML,2,OTAY RIVER BRIDGE NE,19104,,,,2015_02_20,95.2415084839
19,19,19,1119050,125,N,11,73,,2.079,3.928,32.617282,-116.971114,1.006,ML,3,125 SB S/O BIRCH RD,19107,,,,2015_02_20,178.962783813
20,20,20,1119051,125,S,11,73,,4.39,6.215,32.647725,-116.970777,1.038,ML,2,125 NB S/O BIRCH RD,29107,,,,2015_02_20,164.242553711
21,21,21,1119067,125,S,11,73,,2.328,4.153,32.620053,-116.971541,2.5,ML,2,NORTH SIDE BIRCH RD,19109,,,,2015_02_20,181.616378784
22,22,22,1119068,125,S,11,73,,2.328,4.153,32.620053,-116.971541,0.089,ML,2,NORTH SIDE BIRCH RD,29109,,,,2015_02_20,181.616378784
23,23,23,1119075,125,N,11,73,,2.507,4.356,32.623484,-116.971141,0.293,ML,2,125 SB N/O BIRCH RD,19110,,,,2015_02_20,184.006469727
24,24,24,1119076,125,S,11,73,,2.507,4.332,32.621989,-116.971431,0.283,ML,2,125 NB N/O BIRCH RD,29110,,,,2015_02_20,183.338256836
